Model,Z_SMSE,Z_MSE,Y_SMSE,Y_MSE,Y_SMSE_TOP,Y_MSE_TOP,LML,Kernel_Params
"Local Sens + Mat 2.5 + WhiteK, x:none, y:logshift",1.1325,0.21471246213935652,1.78656,0.009745993581147751,0.0201785,0.0001100771718100865,3.24981,"0.0938**2 * Matern(len_scale=[0.714, 0.634, 10], nu=1.5) + 1.63**2 * Matern(len_scale=[10, 10, 0.199], nu=2.5) + WhiteK(noise=6.14e-05)"
"Linear + RBF + WhiteK, x:scaled, y:scaled",0.879811,0.8798114518542036,0.879811,0.004799529926757109,0.0219648,0.00011982219904211197,-29.0288,"DotProduct(sigma_0=0.946) + 1.37**2 * RBF(len_scale=[2.52, 2.99, 0.393]) + WhiteK(noise=0.00329)"
"Local Sens + Mat 2.5 + WhiteK, x:scaled, y:logshift-scaled",1.07893,1.0789327992503095,1.31099,0.007151681475196715,0.0224842,0.00012265513523558483,-20.3906,"0.144**2 * Matern(len_scale=[1.29, 1.5, 10], nu=1.5) + 1.38**2 * Matern(len_scale=[10, 10, 0.341], nu=2.5) + WhiteK(noise=0.000117)"
"Local Sens + Ridge + Mat 2.5 + WhiteK, x:scaled, y:logshift",1.49641,0.2837069721511751,3.72984,0.02034694894614417,0.023434,0.00012783691130570688,-4.04734,"0.00492**2 * Matern(len_scale=[0.028, 0.0948, 0.101], nu=1.5) + DotProduct(sigma_0=2.75) + 1.99**2 * Matern(len_scale=[9.21, 10, 1.5], nu=2.5) + WhiteK(noise=6.55e-05)"
"Local Sens + Mat 2.5 + WhiteK, x:scaled, y:none",0.856496,0.00467234167696726,0.856496,0.00467234167696726,0.0242864,0.00013248683957121498,42.5006,"0.0707**2 * Matern(len_scale=[10, 10, 0.309], nu=1.5) + 0.189**2 * Matern(len_scale=[5.15, 6.6, 4.04], nu=2.5) + WhiteK(noise=1.59e-05)"
"Local Sens + Ridge + Mat 2.5 + WhiteK, x:none, y:logshift-scaled",1.08184,1.0818378801594901,1.46735,0.008004680755970914,0.0245586,0.00013397172545848293,-17.7102,"0.29**2 * Matern(len_scale=[0.878, 0.875, 10], nu=1.5) + DotProduct(sigma_0=5.16e-05) + 1.8**2 * Matern(len_scale=[10, 10, 0.113], nu=2.5) + WhiteK(noise=0.000326)"
"Local Sens + Mat 2.5 + WhiteK, x:scaled, y:logshift",1.63611,0.31019305703190125,4.54842,0.024812453575731017,0.0248241,0.00013542012038297472,-2.83833,"0.00533**2 * Matern(len_scale=[0.0281, 0.0965, 0.102], nu=1.5) + 2.45**2 * Matern(len_scale=[9.49, 10, 1.71], nu=2.5) + WhiteK(noise=6.56e-05)"
"Matern 2.5 + WhiteK, x:scaled, y:logshift",1.63611,0.31019311621203083,4.54842,0.024812435253842153,0.0248242,0.0001354203754413168,-2.83833,"2.45**2 * Matern(len_scale=[9.49, 10, 1.71], nu=2.5) + WhiteK(noise=9.41e-05)"
"Local Sens + Ridge + Mat 2.5 + WhiteK, x:none, y:logshift",1.05607,0.2002214565712339,1.44076,0.007859607954634222,0.0269448,0.0001469888841033594,2.38324,"0.214**2 * Matern(len_scale=[1.38, 1.37, 10], nu=1.5) + DotProduct(sigma_0=1.16) + 0.842**2 * Matern(len_scale=[10, 10, 0.125], nu=2.5) + WhiteK(noise=7.05e-05)"
"Local Sens + Ridge + Mat 2.5 + WhiteK, x:scaled, y:power",0.396117,0.00022965774232032218,0.698172,0.0038086554424281212,0.0288214,0.0001572261246799595,56.7763,"0.0184**2 * Matern(len_scale=[5.17, 10, 0.323], nu=1.5) + DotProduct(sigma_0=0.0979) + 0.05**2 * Matern(len_scale=[10, 3.4, 3.06], nu=2.5) + WhiteK(noise=3.33e-05)"
"Matern 0.5 + WhiteK, x:scaled, y:logshift",1.282,0.24305645311224855,1.755,0.009573833860650456,0.0293932,0.0001603452358301258,-13.7839,"0.897**2 * Matern(len_scale=[8.23, 10, 3.68], nu=0.5) + WhiteK(noise=1e-07)"
"Matern 0.5, x:scaled, y:logshift",1.282,0.2430564847336059,1.755,0.0095738356135925,0.0293932,0.00016034546392997947,-13.7839,"0.897**2 + Matern(len_scale=[8.23, 10, 3.68], nu=0.5)"
"Local Sens + Ridge + Mat 2.5 + WhiteK, x:none, y:power",0.406842,0.00023587554473695184,0.691978,0.003774864745056647,0.0301799,0.0001646369135717148,60.835,"0.0202**2 * Matern(len_scale=[1.75, 10, 0.0933], nu=1.5) + DotProduct(sigma_0=0.0867) + 0.0587**2 * Matern(len_scale=[10, 0.99, 0.857], nu=2.5) + WhiteK(noise=3.64e-05)"
"Linear + RBF + WhiteK, x:none, y:power",0.436072,0.0002528222144636935,0.671261,0.003661852349631029,0.0313559,0.00017105207326450743,59.1525,"DotProduct(sigma_0=0.0604) + 0.0224**2 * RBF(len_scale=[0.455, 0.487, 0.0667]) + WhiteK(noise=1.55e-05)"
"Matern 1.5, x:none, y:logshift-scaled",1.11486,1.114864606878249,1.4758,0.008050762858555912,0.0318831,0.00017392783372668767,-22.1552,"1.58**2 + Matern(len_scale=[2.41, 7.46, 0.106], nu=1.5)"
"Linear + RBF + WhiteK, x:scaled, y:pow-scaled",0.453287,0.4532868546166741,0.691864,0.0037742436133595754,0.0325967,0.000177820621540967,-32.6401,"DotProduct(sigma_0=0.394) + 0.886**2 * RBF(len_scale=[1.44, 1.71, 0.235]) + WhiteK(noise=0.0265)"
"Periodic + WhiteK, x:scaled, y:power",5.61567,0.003255810189017899,1.88302,0.010272226484167105,0.0326782,0.00017826568479495104,39.0074,"0.0167**2 * ExpSineSquared(len_scale=1.77e-06, periodicity=2.92e-07) + WhiteK(noise=0.00298)"
"Periodic, x:none, y:power",5.61567,0.003255810189017899,1.88302,0.010272226557195426,0.0326782,0.0001782656913183098,39.0074,"0.0571**2 + ExpSineSquared(len_scale=2.17e-05, periodicity=8.53e-05)"
"Periodic, x:scaled, y:power",5.61567,0.003255810189017899,1.88302,0.010272226557195426,0.0326782,0.0001782656913183098,39.0074,"0.0571**2 + ExpSineSquared(len_scale=2.17e-05, periodicity=8.53e-05)"
"Linear + RBF + WhiteK, x:none, y:pow-scaled",0.410805,0.4108049252851713,0.687599,0.0037509774715732747,0.0343827,0.0001875637278606697,-29.8345,"DotProduct(sigma_0=9.05e-07) + 0.855**2 * RBF(len_scale=[0.441, 0.47, 0.0557]) + WhiteK(noise=0.028)"
"Locally Periodic, x:none, y:none",1.17491,0.006409339397504369,1.17491,0.006409339397504369,0.0351068,0.00019151406077304604,33.3685,"0.128**2 * RBF(len_scale=[4.59e+03, 10.4, 120]) + ExpSineSquared(len_scale=0.000199, periodicity=9.29e+03)"
"Matern 1.5, x:scaled, y:power",0.769005,0.0004458478381375041,0.950637,0.0051858978172927405,0.035787,0.00019522426065457328,62.3896,"0.0608**2 + Matern(len_scale=[3.31, 3.79, 1.37], nu=1.5)"
"Matern 1.5, x:none, y:power",0.769005,0.00044584773031453614,0.950635,0.00518588700455435,0.0357871,0.0001952248556079492,62.3896,"0.0608**2 + Matern(len_scale=[0.982, 1.05, 0.344], nu=1.5)"
"Ridge + RQ + WhiteK, x:scaled, y:logshift-scaled",1.25159,1.2515880328751068,1.74854,0.009538580240294359,0.0361389,0.00019714406114669197,-30.6348,"DotProduct(sigma_0=1e-07) + 1.35**2 * RationalQuadratic(α=1e+05, len_scale=1.13) + WhiteK(noise=1e-07)"
"Linear + RBF + WhiteK, x:none, y:none",0.538088,0.002935369586103074,0.538088,0.002935369586103074,0.0371099,0.00020244135005657873,38.2146,"DotProduct(sigma_0=1.11e-07) + 0.192**2 * RBF(len_scale=[10, 1.04, 0.126]) + WhiteK(noise=5.81e-05)"
"Local Sens + Ridge + Mat 2.5 + WhiteK, x:scaled, y:pow-scaled",0.486873,0.4868728305433101,0.709234,0.0038689982263965805,0.0372612,0.00020326631682337313,-32.9738,"0.0932**2 * Matern(len_scale=[0.0271, 0.0993, 0.1], nu=1.5) + DotProduct(sigma_0=0.361) + 0.893**2 * Matern(len_scale=[1.74, 2.05, 0.246], nu=2.5) + WhiteK(noise=0.0137)"
"RBF + WhiteK, x:none, y:scaled",0.804163,0.8041634437412585,0.804163,0.004386856418049688,0.037947,0.00020700765520224952,-25.8615,"2.34**2 * RBF(len_scale=[10, 0.974, 0.116]) + WhiteK(noise=0.0129)"
"Matern 1.5, x:scaled, y:logshift-scaled",1.08447,1.0844690670118222,1.31534,0.007175439022884206,0.0389347,0.00021239586064258174,-23.1467,"1.32**2 + Matern(len_scale=[7.5, 10, 0.334], nu=1.5)"
"Linear + RBF + WhiteK, x:none, y:scaled",0.759247,0.7592469150178318,0.759247,0.004141828664251075,0.0402773,0.00021971993008565425,-26.6123,"DotProduct(sigma_0=3.08e-05) + 2.1**2 * RBF(len_scale=[8.53, 0.93, 0.111]) + WhiteK(noise=0.0118)"
"Local Sens + Ridge + Mat 2.5 + WhiteK, x:scaled, y:logshift-scaled",1.17656,1.1765639681514488,1.92162,0.01048280911075304,0.0409787,0.00022354631062464282,-24.5377,"0.00316**2 * Matern(len_scale=[1e-07, 0.0755, 0.102], nu=1.5) + DotProduct(sigma_0=0.528) + 1.48**2 * Matern(len_scale=[5.65, 10, 0.413], nu=2.5) + WhiteK(noise=0.000499)"
"Matern 2.5 + WhiteK, x:scaled, y:logshift-scaled",1.13291,1.132905647000768,1.57834,0.008610151783611093,0.0416869,0.00022740961281379093,-22.0178,"1.49**2 * Matern(len_scale=[6.49, 10, 0.354], nu=2.5) + WhiteK(noise=0.000582)"
"Matern 1.5, x:scaled, y:scaled",0.845773,0.8457732406618674,0.845773,0.00461384535431082,0.0420575,0.00022943103352785808,-27.9888,"1.24**2 + Matern(len_scale=[3.46, 7.39, 0.316], nu=1.5)"
"Matern 2.5 + WhiteK, x:none, y:pow-scaled",0.472978,0.4729775694085714,0.776007,0.0042332560725188645,0.0423316,0.00023092627545070562,-29.8188,"0.916**2 * Matern(len_scale=[0.578, 0.496, 0.0657], nu=2.5) + WhiteK(noise=0.0301)"
"Matern 2.5 + WhiteK, x:scaled, y:pow-scaled",0.472977,0.47297741041018576,0.776006,0.004233254653712081,0.0423316,0.00023092633712267982,-29.8188,"0.916**2 * Matern(len_scale=[1.95, 1.79, 0.261], nu=2.5) + WhiteK(noise=0.0301)"
"Local Sens + Mat 2.5 + WhiteK, x:scaled, y:power",0.436549,0.0002530991693071336,0.715409,0.0039026866447494295,0.0426415,0.00023261718258759921,68.2389,"0.022**2 * Matern(len_scale=[2.16, 2.23, 0.289], nu=1.5) + 0.0479**2 * Matern(len_scale=[10, 10, 10], nu=2.5) + WhiteK(noise=1.21e-05)"
"Local Sens + Mat 2.5 + WhiteK, x:none, y:power",0.38801,0.00022495767810422286,0.694125,0.0037865780694826268,0.0429351,0.00023421889312682628,69.3688,"0.0222**2 * Matern(len_scale=[0.709, 0.617, 0.0758], nu=1.5) + 0.0591**2 * Matern(len_scale=[10, 10, 10], nu=2.5) + WhiteK(noise=1.39e-05)"
"Matern 2.5, x:none, y:logshift-scaled",1.14577,1.1457660140371042,1.80713,0.009858213248972458,0.0432241,0.0002357954650091548,-23.4833,"1.64**2 + Matern(len_scale=[0.892, 4.08, 0.136], nu=2.5)"
"Locally Periodic, x:scaled, y:logshift",1.67963,0.3184432438866274,3.83813,0.020937690552357276,0.0436097,0.00023789876632458488,-12.8878,"1.19**2 * RBF(len_scale=[4.59e+03, 1e+05, 94.7]) + ExpSineSquared(len_scale=0.00233, periodicity=4.04e+03)"
"Matern 2.5 + WhiteK, x:none, y:power",0.60925,0.00035322614653260647,0.908639,0.00495679170763596,0.0439054,0.00023951209210658388,65.2919,"0.072**2 * Matern(len_scale=[7.22, 0.846, 0.291], nu=2.5) + WhiteK(noise=5.18e-05)"
"Locally Periodic, x:none, y:power",1.18537,0.0006872455012759871,1.10741,0.006041106582420968,0.0442575,0.0002414324968374399,55.6234,"0.0549**2 * RBF(len_scale=[4.59e+03, 10.3, 120]) + ExpSineSquared(len_scale=0.000113, periodicity=1.61e+04)"
"RBF + WhiteK, x:scaled, y:none",1.00267,0.005469769907399331,1.00267,0.005469769907399331,0.044456,0.00024251536767135376,40.4456,"0.196**2 * RBF(len_scale=[10, 3.52, 0.488]) + WhiteK(noise=6.27e-05)"
"Matern 1.5, x:scaled, y:pow-scaled",0.50844,0.5084395752540195,0.810037,0.004418898668436493,0.0447277,0.00024399773259105195,-30.5405,"0.914**2 + Matern(len_scale=[1.37, 2.07, 0.208], nu=1.5)"
"Ridge + RQ + WhiteK, x:scaled, y:logshift",1.32312,0.2508530094831788,1.89991,0.0103643292173094,0.0448321,0.0002445673720762039,-12.1621,"DotProduct(sigma_0=1.25) + 0.687**2 * RationalQuadratic(α=13, len_scale=1.25) + WhiteK(noise=1e-07)"
"Rational Quad, x:scaled, y:logshift",1.327,0.2515881585953996,1.76492,0.009627948825214203,0.0449296,0.0002450988095102256,-9.95653,"1.63**2 + RationalQuadratic(α=0.227, len_scale=2.81)"
"Rational Quad + WhiteK, x:scaled, y:logshift",1.327,0.2515869768117207,1.7649,0.009627852470238972,0.0449302,0.0002451024587844188,-9.95666,"1.63**2 * RationalQuadratic(α=0.227, len_scale=2.81) + WhiteK(noise=1e-07)"
"RBF + WhiteK, x:scaled, y:scaled",0.904766,0.9047658572112914,0.904766,0.0049356607023492635,0.0451224,0.0002461506526524275,-26.6388,"1.74**2 * RBF(len_scale=[10, 2.92, 0.388]) + WhiteK(noise=0.0126)"
"Locally Periodic + WhiteK, x:scaled, y:scaled",0.884739,0.8847393212767133,0.884739,0.004826412341982146,0.0452284,0.0002467291521131078,-26.155,"1.8**2 * RBF(len_scale=[2.69e+04, 3.39, 0.398]) * ExpSineSquared(len_scale=108, periodicity=0.0652) + WhiteK(noise=0.0191)"
"Matern 0.5, x:scaled, y:logshift-scaled",1.00782,1.007819062217153,1.08123,0.005898326405602327,0.0457677,0.0002496709022390198,-29.7922,"1.06**2 + Matern(len_scale=[10, 10, 0.298], nu=0.5)"
"Matern 0.5 + WhiteK, x:scaled, y:logshift-scaled",1.00782,1.0078193236106048,1.08123,0.005898326818802124,0.0457677,0.00024967130003967933,-29.7922,"1.06**2 * Matern(len_scale=[10, 10, 0.298], nu=0.5) + WhiteK(noise=1e-07)"
"Ridge + RQ + WhiteK, x:scaled, y:scaled",0.958335,0.9583345917230964,0.958335,0.005227887797013768,0.0464682,0.0002534921569755048,-33.529,"DotProduct(sigma_0=1e-07) + 1.12**2 * RationalQuadratic(α=1e+05, len_scale=0.883) + WhiteK(noise=1e-07)"
"Rational Quad + WhiteK, x:none, y:logshift",1.24554,0.23614366233976877,1.66703,0.009093929223404436,0.0466874,0.00025468837170359714,-10.5858,"1.6**2 * RationalQuadratic(α=0.233, len_scale=0.745) + WhiteK(noise=1e-07)"
"Rational Quad, x:none, y:logshift",1.24554,0.23614422131921328,1.66704,0.0090939934929239,0.04669,0.0002547023390619969,-10.5857,"1.6**2 + RationalQuadratic(α=0.233, len_scale=0.745)"
"Matern 1.5, x:none, y:logshift",1.30517,0.24744829427875176,2.82944,0.01543508980429152,0.0467932,0.00025526506183841266,-2.7502,"1.8**2 + Matern(len_scale=[4.39, 10, 0.317], nu=1.5)"
"Matern 1.5 + WhiteK, x:none, y:pow-scaled",0.477849,0.477848821367076,0.777483,0.004241310658049015,0.0467962,0.00025528182195418847,-29.9387,"0.924**2 * Matern(len_scale=[0.675, 0.555, 0.0682], nu=1.5) + WhiteK(noise=0.0262)"
"Matern 1.5 + WhiteK, x:scaled, y:pow-scaled",0.477849,0.47784884530734195,0.777483,0.004241310154298695,0.0467964,0.00025528269103420226,-29.9387,"0.924**2 * Matern(len_scale=[2.28, 2, 0.271], nu=1.5) + WhiteK(noise=0.0262)"
"Matern 2.5 + WhiteK, x:scaled, y:power",0.655578,0.00038008590803814755,0.953199,0.0051998738173846485,0.0471644,0.00025729032063545034,64.9676,"0.0632**2 * Matern(len_scale=[10, 2.74, 1.16], nu=2.5) + WhiteK(noise=5.02e-05)"
"RBF + WhiteK, x:none, y:pow-scaled",0.446203,0.44620320191768426,0.761718,0.004155306356419446,0.0471982,0.0002574748480065554,-29.4137,"0.95**2 * RBF(len_scale=[1.28, 0.364, 0.0753]) + WhiteK(noise=0.0768)"
"RBF + WhiteK, x:scaled, y:pow-scaled",0.446203,0.44620319307550116,0.761717,0.004155304927582874,0.0471982,0.0002574749148664035,-29.4137,"0.95**2 * RBF(len_scale=[4.33, 1.31, 0.299]) + WhiteK(noise=0.0768)"
"Matern 1.5 + WhiteK, x:none, y:power",0.587403,0.00034055981886609027,0.893369,0.004873486159249092,0.0475183,0.00025922071503087257,65.802,"0.074**2 * Matern(len_scale=[7.62, 1.24, 0.41], nu=1.5) + WhiteK(noise=5.07e-05)"
"Locally Periodic, x:scaled, y:none",1.22141,0.006662988661294019,1.22141,0.006662988661294019,0.0476603,0.00025999535080089393,33.7191,"0.128**2 * RBF(len_scale=[4.59e+03, 1e+05, 102]) + ExpSineSquared(len_scale=0.0001, periodicity=6.76e+04)"
"Matern 1.5, x:none, y:none",1.06174,0.005792001775509304,1.06174,0.005792001775509304,0.0482399,0.00026315707736346527,39.1647,"0.166**2 + Matern(len_scale=[1.54, 2.69, 0.193], nu=1.5)"
"Matern 1.5, x:scaled, y:none",1.06174,0.005792001639532305,1.06174,0.005792001639532305,0.0482399,0.00026315711700762627,39.1647,"0.166**2 + Matern(len_scale=[5.21, 9.68, 0.766], nu=1.5)"
"Matern 1.5 + WhiteK, x:scaled, y:power",0.617327,0.0003579093479293639,0.917255,0.0050037916739515634,0.0483882,0.00026396655465103856,65.4336,"0.0633**2 * Matern(len_scale=[10, 3.84, 1.58], nu=1.5) + WhiteK(noise=4.4e-05)"
"Ridge + RQ + WhiteK, x:scaled, y:none",0.99044,0.00540303129467263,0.99044,0.00540303129467263,0.0485453,0.0002648234666037319,27.9461,"DotProduct(sigma_0=0.111) + 0.0867**2 * RationalQuadratic(α=1e+05, len_scale=0.916) + WhiteK(noise=1e-07)"
"Matern 0.5 + WhiteK, x:none, y:logshift-scaled",1.05745,1.0574462140445209,1.16407,0.006350234918359344,0.0486285,0.0002652770144024095,-26.4445,"1.19**2 * Matern(len_scale=[10, 10, 0.119], nu=0.5) + WhiteK(noise=1e-07)"
"Matern 0.5, x:none, y:logshift-scaled",1.05745,1.0574486061693993,1.16408,0.006350256091186497,0.0486285,0.00026527706310631533,-26.4445,"1.19**2 + Matern(len_scale=[10, 10, 0.119], nu=0.5)"
"Matern 2.5, x:scaled, y:scaled",0.852931,0.8529307129652622,0.852931,0.004652890654809787,0.049003,0.0002673204231483553,-28.857,"1.22**2 + Matern(len_scale=[1.85, 4.32, 0.388], nu=2.5)"
"Local Sens + Ridge + Mat 2.5 + WhiteK, x:scaled, y:scaled",0.906877,0.906877491352697,0.906877,0.0049471800469027775,0.0493988,0.00026947944789800486,-29.7768,"0.0312**2 * Matern(len_scale=[0.032, 0.0975, 0.101], nu=1.5) + DotProduct(sigma_0=0.465) + 1.14**2 * Matern(len_scale=[3.08, 4.78, 0.306], nu=2.5) + WhiteK(noise=0.00227)"
"Matern 2.5, x:scaled, y:logshift-scaled",1.28444,1.284440003176086,2.09332,0.01141941252858328,0.0499887,0.0002726973851416674,-23.555,"1.88**2 + Matern(len_scale=[2.93, 8.47, 0.835], nu=2.5)"
"Linear + RBF + WhiteK, x:scaled, y:logshift",1.14711,0.21748156155640358,3.30083,0.0180066017845947,0.050302,0.00027440670882998786,-1.88988,"DotProduct(sigma_0=2.36) + 1.36**2 * RBF(len_scale=[10, 6.59, 0.584]) + WhiteK(noise=0.000247)"
"Matern 2.5 + WhiteK, x:none, y:none",0.975926,0.005323852433673022,0.975926,0.005323852433673022,0.0530152,0.0002892075025805731,41.0337,"0.229**2 * Matern(len_scale=[10, 1.71, 0.192], nu=2.5) + WhiteK(noise=7.47e-05)"
"RBF + WhiteK, x:scaled, y:power",0.703435,0.0004078318526809843,0.959631,0.005234960659250053,0.053471,0.0002916938439954627,63.8756,"0.062**2 * RBF(len_scale=[10, 1.66, 0.795]) + WhiteK(noise=5.98e-05)"
"Locally Periodic + WhiteK, x:scaled, y:pow-scaled",0.453004,0.45300382335760014,0.760102,0.004146495955727408,0.0541565,0.0002954334450809665,-29.2632,"0.921**2 * RBF(len_scale=[2.69e+04, 1.4, 0.265]) * ExpSineSquared(len_scale=4.76, periodicity=0.049) + WhiteK(noise=0.106)"
"Linear + RBF + WhiteK, x:none, y:logshift-scaled",0.961932,0.9619321994018518,2.02942,0.011070850316066583,0.0545151,0.00029738951686036815,-18.2655,"DotProduct(sigma_0=2.39) + 3.25**2 * RBF(len_scale=[10, 1.81, 0.14]) + WhiteK(noise=0.00168)"
"Linear + RBF + WhiteK, x:scaled, y:logshift-scaled",1.14698,1.1469828318868263,3.33677,0.018202690383041335,0.054773,0.00029879666858044805,-21.8616,"DotProduct(sigma_0=2.54) + 2.89**2 * RBF(len_scale=[10, 6.27, 0.563]) + WhiteK(noise=0.0014)"
"Matern 2.5, x:scaled, y:power",0.977461,0.0005667050163509556,1.0702,0.005838115442951543,0.0548815,0.0002993886805461967,59.6814,"0.0563**2 + Matern(len_scale=[1.8, 2.78, 0.991], nu=2.5)"
"Matern 2.5, x:none, y:power",0.977462,0.0005667053160196164,1.0702,0.00583813888191513,0.0548816,0.00029938893331908135,59.6814,"0.0563**2 + Matern(len_scale=[0.532, 0.773, 0.249], nu=2.5)"
"Matern 0.5, x:none, y:power",0.516464,0.00029943155166035836,0.79215,0.004321320873275605,0.0553744,0.0003020775673208571,67.2061,"0.0618**2 + Matern(len_scale=[10, 4.81, 1.29], nu=0.5)"
"Matern 0.5 + WhiteK, x:none, y:power",0.516485,0.00029944342080842113,0.792216,0.0043216819647185125,0.0553968,0.00030219945082582243,67.2056,"0.0618**2 * Matern(len_scale=[10, 4.81, 1.29], nu=0.5) + WhiteK(noise=1e-07)"
"Locally Periodic, x:scaled, y:logshift-scaled",1.12348,1.1234771252733946,1.6647,0.00908124229718976,0.0555256,0.00030290211427058856,-19.9385,"1.75**2 * RBF(len_scale=[1.75, 1.19e+04, 0.642]) + ExpSineSquared(len_scale=18, periodicity=2.9)"
"Matern 0.5, x:scaled, y:power",0.576435,0.0003342007508312612,0.821608,0.00448201765014668,0.0556227,0.0003034318076122243,65.4261,"0.0452**2 + Matern(len_scale=[10, 7.68, 2.78], nu=0.5)"
"Matern 0.5 + WhiteK, x:scaled, y:power",0.576449,0.0003342090868267615,0.821504,0.004481453098449773,0.0556356,0.00030350244318175056,65.4247,"0.0452**2 * Matern(len_scale=[10, 7.68, 2.78], nu=0.5) + WhiteK(noise=1e-07)"
"Matern 2.5, x:scaled, y:pow-scaled",0.532965,0.5329647576649831,0.832377,0.004540768300380528,0.0559719,0.00030533661180942004,-31.0092,"0.902**2 + Matern(len_scale=[0.986, 1.76, 0.187], nu=2.5)"
"Local Sens + Mat 2.5 + WhiteK, x:none, y:none",0.829054,0.004522640404408925,0.829054,0.004522640404408925,0.056197,0.00030656465325538447,42.196,"0.0925**2 * Matern(len_scale=[1.5, 1.8, 0.0903], nu=1.5) + 0.145**2 * Matern(len_scale=[10, 10, 2.29], nu=2.5) + WhiteK(noise=1.72e-05)"
"RBF + WhiteK, x:none, y:logshift",1.13025,0.21428612709192218,3.93745,0.021479478287350598,0.0562218,0.00030670023274369614,1.43521,"2.16**2 * RBF(len_scale=[10, 2.04, 0.157]) + WhiteK(noise=0.000338)"
"Local Sens + Mat 2.5 + WhiteK, x:scaled, y:pow-scaled",0.451758,0.4517583118299993,0.760927,0.004150996469614253,0.0563623,0.0003074666972239569,-29.8419,"0.152**2 * Matern(len_scale=[0.03, 0.102, 0.103], nu=1.5) + 0.937**2 * Matern(len_scale=[4, 1.55, 0.334], nu=2.5) + WhiteK(noise=0.0479)"
"Ridge + RQ + WhiteK, x:none, y:none",0.951092,0.005188376052699274,0.951092,0.005188376052699274,0.0564672,0.0003080387670913142,31.4206,"DotProduct(sigma_0=0.0725) + 0.0873**2 * RationalQuadratic(α=1e+05, len_scale=0.249) + WhiteK(noise=1e-07)"
