Model,Z_SMSE,Z_MSE,Y_SMSE,Y_MSE,Y_SMSE_TOP,Y_MSE_TOP,LML,Kernel_Params
"Local Sens + Ridge + Mat 2.5 + WhiteK, x:none, y:pow-scaled",0.338304,0.3383039513133457,0.623809,0.0034029885683403214,0.00855895,4.6690622797746624e-05,-28.5658,"0.441**2 * Matern(len_scale=[0.188, 0.288, 0.478], nu=1.5) + DotProduct(sigma_0=0.000687) + 0.86**2 * Matern(len_scale=[10, 0.779, 0.0742], nu=2.5) + WhiteK(noise=1e-07)"
"Local Sens + Mat 2.5 + WhiteK, x:none, y:pow-scaled",0.345746,0.34574569548768175,0.671857,0.003665098522712686,0.00969864,5.290781927017878e-05,-27.7914,"0.404**2 * Matern(len_scale=[0.166, 0.261, 0.498], nu=1.5) + 0.946**2 * Matern(len_scale=[10, 0.743, 0.082], nu=2.5) + WhiteK(noise=1e-07)"
"Linear + RBF + WhiteK, x:none, y:logshift",1.2947,0.24546462464696578,2.58618,0.01410807619136762,0.0120281,6.561549690253369e-05,-1.86887,"DotProduct(sigma_0=1.11e-07) + 1.16**2 * RBF(len_scale=[1.05, 1.21, 0.187]) + WhiteK(noise=6.15e-05)"
"Local Sens + Mat 2.5 + WhiteK, x:none, y:scaled",0.673649,0.6736489899875425,0.673649,0.0036748765667472738,0.0148396,8.095293250863942e-05,-21.8448,"0.333**2 * Matern(len_scale=[0.563, 0.436, 1.98], nu=1.5) + 1.89**2 * Matern(len_scale=[10, 10, 0.12], nu=2.5) + WhiteK(noise=0.00231)"
"RBF + WhiteK, x:none, y:none",1.23795,0.006753237473729303,1.23795,0.006753237473729303,0.0153422,8.369442775946178e-05,38.2463,"0.171**2 * RBF(len_scale=[0.786, 0.823, 0.148]) + WhiteK(noise=1.44e-05)"
"Local Sens + Mat 2.5 + WhiteK, x:none, y:logshift-scaled",1.07124,1.0712362933986397,1.46141,0.00797222801467625,0.0156913,8.559861949557837e-05,-15.7232,"0.158**2 * Matern(len_scale=[0.509, 0.48, 10], nu=1.5) + 1.89**2 * Matern(len_scale=[10, 10, 0.116], nu=2.5) + WhiteK(noise=0.000248)"
"Local Sens + Mat 2.5 + WhiteK, x:scaled, y:scaled",0.734511,0.7345114847148942,0.734511,0.004006892437017428,0.0164265,8.960936669333133e-05,-24.0079,"0.291**2 * Matern(len_scale=[1.05, 1.35, 3.8], nu=1.5) + 1.35**2 * Matern(len_scale=[10, 10, 0.359], nu=2.5) + WhiteK(noise=1.28e-07)"
"Local Sens + Ridge + Mat 2.5 + WhiteK, x:none, y:scaled",0.672002,0.6720024418402515,0.672002,0.003665894350055147,0.0165422,9.024070407765313e-05,-22.907,"0.505**2 * Matern(len_scale=[0.87, 0.653, 6.71], nu=1.5) + DotProduct(sigma_0=0.748) + 1.68**2 * Matern(len_scale=[10, 10, 0.111], nu=2.5) + WhiteK(noise=0.00296)"
"Local Sens + Ridge + Mat 2.5 + WhiteK, x:none, y:none",0.581995,0.003174885541822246,0.581995,0.003174885541822246,0.0186431,0.00010170158410460456,41.7329,"0.0567**2 * Matern(len_scale=[1.27, 0.936, 10], nu=1.5) + DotProduct(sigma_0=5.16e-05) + 0.142**2 * Matern(len_scale=[10, 10, 0.13], nu=2.5) + WhiteK(noise=1.82e-05)"
"Local Sens + Ridge + Mat 2.5 + WhiteK, x:scaled, y:none",0.852563,0.004650882819969764,0.852563,0.004650882819969764,0.0198462,0.00010826463431812951,34.4671,"0.0595**2 * Matern(len_scale=[10, 10, 0.299], nu=1.5) + DotProduct(sigma_0=0.279) + 0.231**2 * Matern(len_scale=[5.82, 6.89, 3.51], nu=2.5) + WhiteK(noise=1.66e-05)"
