Model,Z_SMSE,Z_MSE,Y_SMSE,Y_MSE,Y_SMSE_TOP,Y_MSE_TOP,LML,Kernel_Params
"Linear + RBF, x:none, y:pow-scaled",2.91111e-05,2.9111110263211565e-05,2.87672e-05,4.2807213597827616e-05,2.90562e-05,4.323719398672422e-05,55.9626,"DotProduct(sigma_0=10) + 3.03**2 * RBF(len_scale=[2.61, 3.64, 2.15, 3.54, 5.1, 3.59, 2.6, 10])"
"Linear + RBF, x:none, y:none",0.000161236,0.00023992867932243065,0.000161236,0.00023992867932243065,3.44538e-05,5.126909733460019e-05,46.97,"DotProduct(sigma_0=10) + 3.9**2 * RBF(len_scale=[2.7, 3.78, 2.21, 3.64, 5.22, 3.81, 2.7, 10])"
"Linear + RBF, x:none, y:scaled",0.00014361,0.00014360991980425154,0.00014361,0.0002136994207447724,3.69311e-05,5.495552356767812e-05,55.7437,"DotProduct(sigma_0=10) + 3.2**2 * RBF(len_scale=[2.69, 3.77, 2.21, 3.63, 5.21, 3.79, 2.7, 10])"
"Linear + RBF, x:none, y:power",6.10804e-05,0.0004383685636052462,6.28413e-05,9.351133605309112e-05,3.75822e-05,5.592433340464051e-05,8.18986,"DotProduct(sigma_0=10) + 5.94**2 * RBF(len_scale=[2.24, 3.12, 1.85, 3.04, 4.31, 3.11, 2.23, 9.52])"
"Linear + RBF + WhiteK, x:none, y:power",6.186e-05,0.00044396377698438,6.33851e-05,9.432053939424276e-05,3.95508e-05,5.88538145455879e-05,7.87992,"DotProduct(sigma_0=10) + 5.9**2 * RBF(len_scale=[2.23, 3.08, 1.84, 3.02, 4.28, 3.08, 2.22, 10]) + WhiteK(noise=1e-07)"
"Linear + RBF + WhiteK, x:none, y:pow-scaled",3.57191e-05,3.57191206786761e-05,3.47932e-05,5.177425900787188e-05,4.67877e-05,6.962273109255274e-05,54.7403,"DotProduct(sigma_0=10) + 3.05**2 * RBF(len_scale=[2.6, 3.64, 2.15, 3.5, 5.09, 3.59, 2.59, 10]) + WhiteK(noise=1e-07)"
"Linear + RBF + WhiteK, x:none, y:none",0.000175229,0.0002607504029981484,0.000175229,0.0002607504029981484,4.75021e-05,7.068572650005162e-05,45.902,"DotProduct(sigma_0=10) + 3.87**2 * RBF(len_scale=[2.67, 3.74, 2.19, 3.6, 5.18, 3.77, 2.68, 10]) + WhiteK(noise=1e-07)"
"Linear + RBF + WhiteK, x:none, y:scaled",0.000158368,0.00015836809135504106,0.000158368,0.0002356603877584343,5.47932e-05,8.153535005533954e-05,54.4782,"DotProduct(sigma_0=10) + 3.16**2 * RBF(len_scale=[2.66, 3.72, 2.19, 3.57, 5.15, 3.74, 2.67, 10]) + WhiteK(noise=1e-07)"
"Locally Periodic, x:scaled, y:none",0.000953777,0.0014192718729807404,0.000953777,0.0014192718729807404,6.24852e-05,9.298142470917002e-05,49.763,"2.06**2 * RBF(len_scale=[5.44, 8.25, 4.82, 9.25, 12.2, 10.3, 6.61, 1e+05]) + ExpSineSquared(len_scale=5.77e+03, periodicity=0.638)"
"RBF + WhiteK, x:none, y:power",0.000770075,0.0055267599429512215,0.00082203,0.0012232249445332127,7.52921e-05,0.00011203874014544919,5.73682,"3.42**2 * RBF(len_scale=[1.59, 2.17, 1.29, 2.17, 3.05, 2.23, 1.6, 10]) + WhiteK(noise=2.96e-07)"
"RBF + WhiteK, x:none, y:none",0.00110194,0.0016397529189472468,0.00110194,0.0016397529189472468,8.49912e-05,0.00012647155896165584,44.8329,"1.98**2 * RBF(len_scale=[1.75, 2.43, 1.4, 2.44, 3.49, 2.54, 1.79, 10]) + WhiteK(noise=1e-07)"
"RBF, x:none, y:power",0.000860435,0.006175264292370381,0.000920178,0.0013692752420096789,9.56806e-05,0.00014237800608437286,5.53942,"3.43**2 + RBF(len_scale=[1.58, 2.24, 1.3, 2.15, 3.07, 2.27, 1.6, 7.28])"
"Locally Periodic, x:none, y:none",0.00108424,0.001613409079894608,0.00108424,0.001613409079894608,0.000115117,0.00017130029258554484,44.804,"2.02**2 * RBF(len_scale=[1.76, 2.48, 1.41, 2.44, 3.42, 2.55, 1.81, 9.81]) + ExpSineSquared(len_scale=6.2e+04, periodicity=6.54e-05)"
"RBF, x:none, y:none",0.00109286,0.0016262326346067754,0.00109286,0.0016262326346067754,0.000118567,0.00017643391630638375,44.7859,"1.99**2 + RBF(len_scale=[1.75, 2.47, 1.4, 2.43, 3.4, 2.57, 1.79, 9.55])"
"Linear + RBF, x:scaled, y:power",0.000533028,0.0038254929466938945,0.00054966,0.0008179245485926266,0.000146852,0.0002185237435970854,-7.72238,"DotProduct(sigma_0=0.000405) + 3.18**2 * RBF(len_scale=[4.72, 7.3, 4.36, 7.78, 10, 8.93, 5.61, 10])"
"Periodic + WhiteK, x:none, y:power",0.0029445,0.021132447671726992,0.00305176,0.004541180347340085,0.000160224,0.00023842273015958502,-26.8622,"29.7**2 * ExpSineSquared(len_scale=5.26, periodicity=10) + WhiteK(noise=1e-07)"
