Model,Z_SMSE,Z_MSE,Y_SMSE,Y_MSE,Y_SMSE_TOP,Y_MSE_TOP,LML,Kernel_Params
"Ridge + RQ + WhiteK, x:none, y:none",0.0937047,0.04035760650107856,0.0937047,0.04035760650107856,0.0251236,0.010820473165276382,-5.16406,"DotProduct(sigma_0=1.79) + 0.452**2 * RationalQuadratic(α=1e+05, len_scale=0.527) + WhiteK(noise=0.00548)"
"Linear + RBF, x:none, y:logshift",0.246911,0.06285130662557264,0.142037,0.06117387452237663,0.0252514,0.010875484696537777,2.03204,"DotProduct(sigma_0=3.01e-06) + 0.372**2 * RBF(len_scale=[0.927, 0.208, 0.283, 0.544, 0.609])"
"Ridge + RQ + WhiteK, x:scaled, y:scaled",0.0963503,0.09635028298316145,0.0963503,0.04149701283427346,0.0255349,0.010997582202160308,-21.5049,"DotProduct(sigma_0=0.963) + 0.625**2 * RationalQuadratic(α=1e+05, len_scale=1.83) + WhiteK(noise=0.0128)"
"Ridge + RQ + WhiteK, x:scaled, y:none",0.0904492,0.038955474523843986,0.0904492,0.038955474523843986,0.025657,0.011050190015943668,-10.9393,"DotProduct(sigma_0=2) + 0.571**2 * RationalQuadratic(α=1.67, len_scale=2.41) + WhiteK(noise=0.00546)"
"Locally Periodic + WhiteK, x:scaled, y:logshift",0.291981,0.0743237831685884,0.130627,0.05625965416301598,0.0257126,0.011074138919012154,5.5865,"0.581**2 * RBF(len_scale=[8.42e+03, 1.51e+04, 1.18e+03, 9.14e+03, 7.13e+03]) * ExpSineSquared(len_scale=0.00048, periodicity=3.13e+04) + WhiteK(noise=0.000746)"
"Rational Quad + WhiteK, x:scaled, y:logshift",0.291981,0.07432377341104535,0.130627,0.05625958101410468,0.0257127,0.011074162422826102,5.58648,"0.581**2 * RationalQuadratic(α=1e+05, len_scale=2.39) + WhiteK(noise=0.000746)"
"Rational Quad + WhiteK, x:none, y:logshift",0.29757,0.07574649300979232,0.128789,0.055468192893432446,0.0258479,0.01113240138256611,5.48377,"0.579**2 * RationalQuadratic(α=1e+05, len_scale=0.63) + WhiteK(noise=0.00073)"
"RBF + WhiteK, x:none, y:pow-scaled",0.155447,0.15544739863540227,0.177438,0.07642064795721111,0.0259671,0.011183727664651144,-21.9543,"0.869**2 * RBF(len_scale=[0.369, 0.534, 0.738, 0.639, 0.439]) + WhiteK(noise=0.0242)"
"RBF + WhiteK, x:scaled, y:pow-scaled",0.155447,0.15544735227769046,0.177438,0.07642062577017301,0.0259671,0.01118373486923843,-21.9543,"0.869**2 * RBF(len_scale=[1.42, 2.1, 2.71, 2.42, 1.57]) + WhiteK(noise=0.0242)"
"Linear + RBF, x:scaled, y:logshift-scaled",0.288759,0.28875879786479974,0.177959,0.07664487268232184,0.0260012,0.011198413945285528,-22.9502,"DotProduct(sigma_0=0.586) + 0.738**2 * RBF(len_scale=[3.52, 0.817, 1.01, 2.01, 2.12])"
"Locally Periodic + WhiteK, x:scaled, y:scaled",0.158222,0.15822194842494589,0.158222,0.06814446228041891,0.0260838,0.011234018031005114,-20.1732,"1.02**2 * RBF(len_scale=[8.43e+03, 5.4, 1.19e+03, 9.14e+03, 3.03]) * ExpSineSquared(len_scale=0.00143, periodicity=1.01e+04) + WhiteK(noise=0.0111)"
"Locally Periodic + WhiteK, x:scaled, y:logshift-scaled",0.288615,0.2886148929170439,0.133037,0.05729776840319305,0.0263435,0.011345865627882111,-17.2351,"1.93**2 * RBF(len_scale=[8.42e+03, 1e+05, 1.18e+03, 9.14e+03, 1e+05]) * ExpSineSquared(len_scale=1.78, periodicity=13.4) + WhiteK(noise=0.00284)"
"RBF + WhiteK, x:none, y:scaled",0.151229,0.15122854991530207,0.151229,0.06513248204824257,0.0267953,0.011540433625269415,-19.2695,"0.999**2 * RBF(len_scale=[0.441, 0.596, 0.836, 0.692, 0.516]) + WhiteK(noise=0.0129)"
"RBF + WhiteK, x:scaled, y:scaled",0.151228,0.15122839011570566,0.151228,0.06513241322430455,0.0267953,0.011540455042345618,-19.2695,"0.999**2 * RBF(len_scale=[1.7, 2.34, 3.07, 2.61, 1.84]) + WhiteK(noise=0.0129)"
"Matern 2.5 + WhiteK, x:scaled, y:logshift",0.260834,0.06639537576351456,0.138079,0.05946913371704217,0.0271544,0.01169508519190579,5.29481,"0.86**2 * Matern(len_scale=[3.78, 4.08, 3.97, 5.35, 6.87], nu=2.5) + WhiteK(noise=0.000935)"
"Matern 2.5 + WhiteK, x:none, y:logshift",0.260832,0.0663947671330573,0.13808,0.05946933560018461,0.0271546,0.011695203659623293,5.29481,"0.86**2 * Matern(len_scale=[0.98, 1.04, 1.08, 1.41, 1.92], nu=2.5) + WhiteK(noise=0.000935)"
"Rational Quad + WhiteK, x:none, y:logshift-scaled",0.296933,0.29693274588080587,0.125681,0.05412961087334307,0.0281053,0.012104628562431243,-17.7628,"2.77**2 * RationalQuadratic(α=0.284, len_scale=1.46) + WhiteK(noise=0.00311)"
"Periodic + WhiteK, x:scaled, y:power",4.65388,0.7802766111689747,2.67312,1.1512853194719272,0.0281476,0.012122863401101355,-41.4782,"0.00892**2 * ExpSineSquared(len_scale=4.28, periodicity=4.9) + WhiteK(noise=0.804)"
"Rational Quad + WhiteK, x:scaled, y:logshift-scaled",0.287415,0.28741511944226245,0.125568,0.054080676740306956,0.0283375,0.012204640800861562,-17.5728,"2.82**2 * RationalQuadratic(α=0.272, len_scale=5.63) + WhiteK(noise=0.00325)"
"Ridge + RQ + WhiteK, x:none, y:logshift-scaled",0.29871,0.2987099008174854,0.125372,0.05399625571644723,0.0286333,0.012332055604938434,-17.2293,"DotProduct(sigma_0=1.81) + 1.11**2 * RationalQuadratic(α=1e+05, len_scale=0.656) + WhiteK(noise=0.00345)"
"Linear + RBF + WhiteK, x:none, y:logshift-scaled",0.208542,0.2085418669075834,0.104374,0.0449525532614542,0.0289632,0.012474130370421256,-15.4404,"DotProduct(sigma_0=1.9) + 1.08**2 * RBF(len_scale=[0.603, 0.549, 0.568, 0.904, 1.3]) + WhiteK(noise=0.00443)"
"RBF + WhiteK, x:scaled, y:logshift-scaled",0.303924,0.3039236613993428,0.195663,0.08426999880719682,0.0291121,0.01253828373493331,-18.7356,"1.53**2 * RBF(len_scale=[2.17, 2.87, 2.56, 3.2, 3.68]) + WhiteK(noise=0.00385)"
"RBF, x:none, y:power",4.67486,0.7837939870886983,2.70527,1.1651283397062224,0.0295749,0.012737570583789604,-41.5083,"0.885**2 + RBF(len_scale=[0.334, 0.0452, 0.0679, 0.148, 3.91e-07])"
"Periodic, x:none, y:power",4.67486,0.7837939870993562,2.70527,1.16512834911019,0.0295749,0.012737571048796551,-41.5083,"0.885**2 + ExpSineSquared(len_scale=1.77e-06, periodicity=1.77e-06)"
"Periodic, x:scaled, y:power",4.67486,0.7837939870993562,2.70527,1.16512834911019,0.0295749,0.012737571048796551,-41.5083,"0.885**2 + ExpSineSquared(len_scale=1.77e-06, periodicity=1.77e-06)"
"Matern 2.5 + WhiteK, x:scaled, y:logshift-scaled",0.249912,0.24991210885311088,0.148164,0.06381273364272637,0.0306,0.013179086163679174,-17.8522,"2.45**2 * Matern(len_scale=[4.64, 5.22, 5.06, 6.84, 9.99], nu=2.5) + WhiteK(noise=0.00471)"
"Matern 2.5 + WhiteK, x:none, y:logshift-scaled",0.249912,0.2499115752701101,0.148164,0.06381278432965248,0.0306001,0.013179130612915656,-17.8522,"2.45**2 * Matern(len_scale=[1.2, 1.33, 1.37, 1.81, 2.8], nu=2.5) + WhiteK(noise=0.00471)"
"Linear + RBF + WhiteK, x:none, y:power",0.0732089,0.012274308010572138,0.0757148,0.03260952323738221,0.0310759,0.013384030931716117,5.02611,"DotProduct(sigma_0=1.06) + 0.23**2 * RBF(len_scale=[0.353, 0.389, 0.469, 0.504, 10]) + WhiteK(noise=0.006)"
"Ridge + RQ + WhiteK, x:scaled, y:logshift-scaled",0.314904,0.31490424108161197,0.143629,0.06185924948014038,0.0314147,0.013529952270743772,-20.7118,"DotProduct(sigma_0=1.61) + 1.22**2 * RationalQuadratic(α=1e+05, len_scale=2.63) + WhiteK(noise=0.00399)"
"Ridge + RQ + WhiteK, x:none, y:logshift",0.310032,0.07891874393944844,0.13748,0.05921097274732277,0.0316282,0.013621910923434396,3.59298,"DotProduct(sigma_0=0.321) + 0.547**2 * RationalQuadratic(α=1e+05, len_scale=0.646) + WhiteK(noise=0.000976)"
"Ridge + RQ + WhiteK, x:scaled, y:logshift",0.314699,0.08010665049098406,0.153363,0.06605191722879164,0.0324734,0.013985922079013396,-1.10946,"DotProduct(sigma_0=1e-07) + 0.486**2 * RationalQuadratic(α=1e+05, len_scale=2.26) + WhiteK(noise=0.00104)"
"Linear + RBF + WhiteK, x:none, y:logshift",0.213935,0.05445735694961794,0.110223,0.047471746187859584,0.0324819,0.013989620020752555,5.54754,"DotProduct(sigma_0=0.308) + 0.52**2 * RBF(len_scale=[0.583, 0.53, 0.559, 0.906, 1.18]) + WhiteK(noise=0.0012)"
"Linear + RBF + WhiteK, x:scaled, y:logshift",0.24208,0.061621641861987306,0.135944,0.0585497509490051,0.0334723,0.014416135319443659,0.323006,"DotProduct(sigma_0=0.177) + 0.488**2 * RBF(len_scale=[2.12, 1.97, 2.05, 3.16, 3.91]) + WhiteK(noise=0.00125)"
"Linear + RBF + WhiteK, x:scaled, y:logshift-scaled",0.214253,0.21425303631468415,0.118823,0.051175806438011014,0.034181,0.014721389123424994,-19.0908,"DotProduct(sigma_0=1.88) + 1.21**2 * RBF(len_scale=[2.57, 2.22, 2.31, 3.71, 4.76]) + WhiteK(noise=0.00503)"
"Linear + RBF + WhiteK, x:none, y:scaled",0.0652078,0.0652078287329339,0.0652078,0.028084298478900815,0.0371015,0.015979209934194025,-15.8975,"DotProduct(sigma_0=1.01) + 0.657**2 * RBF(len_scale=[0.44, 0.504, 0.587, 0.644, 10]) + WhiteK(noise=0.0256)"
"Locally Periodic + WhiteK, x:none, y:power",0.151738,0.025440556696005222,0.158021,0.06805787039608609,0.0401153,0.01727723565205178,-3.42255,"0.871**2 * RBF(len_scale=[1e+05, 1e+05, 7.18e+04, 1e+05, 1e+05]) * ExpSineSquared(len_scale=0.581, periodicity=9.17) + WhiteK(noise=0.00424)"
"Linear + RBF + WhiteK, x:none, y:none",0.0579369,0.02495280496619483,0.0579369,0.02495280496619483,0.0404471,0.017420102779590246,-4.37676,"DotProduct(sigma_0=1.96) + 0.484**2 * RBF(len_scale=[0.486, 0.546, 0.647, 0.708, 10]) + WhiteK(noise=0.0116)"
"Matern 2.5 + WhiteK, x:scaled, y:none",0.0757954,0.03264425944669781,0.0757954,0.03264425944669781,0.0430718,0.01855053217799347,-7.33677,"1.99**2 * Matern(len_scale=[5.75, 6.97, 8.29, 9.17, 10], nu=2.5) + WhiteK(noise=0.011)"
"Matern 2.5 + WhiteK, x:none, y:none",0.0671086,0.028902955512366477,0.0671086,0.028902955512366477,0.0455617,0.019622947120465146,-7.28315,"2.2**2 * Matern(len_scale=[1.6, 1.89, 2.34, 2.64, 3.74], nu=2.5) + WhiteK(noise=0.012)"
"Matern 2.5 + WhiteK, x:scaled, y:power",0.080091,0.013428175799495802,0.0720289,0.03102204752283956,0.0472028,0.020329728957112565,3.35351,"1.14**2 * Matern(len_scale=[4.99, 6.04, 7.26, 10, 10], nu=2.5) + WhiteK(noise=0.00783)"
"Locally Periodic + WhiteK, x:none, y:none",0.148809,0.06409031993357814,0.148809,0.06409031993357814,0.0486906,0.020970513470330528,-15.1001,"1.81**2 * RBF(len_scale=[1e+05, 1e+05, 1e+05, 9.81e+04, 1e+05]) * ExpSineSquared(len_scale=0.00654, periodicity=964) + WhiteK(noise=0.0106)"
"Matern 2.5 + WhiteK, x:none, y:power",0.0808975,0.013563386321352199,0.0727043,0.03131295532950627,0.0497751,0.021437590185400965,3.36379,"1.18**2 * Matern(len_scale=[1.31, 1.56, 2.03, 3.06, 2.89], nu=2.5) + WhiteK(noise=0.00821)"
"Locally Periodic + WhiteK, x:scaled, y:none",0.13773,0.05931886174289362,0.13773,0.05931886174289362,0.0521471,0.022459169749221415,-14.8451,"1.87**2 * RBF(len_scale=[8.42e+03, 15.5, 1.2e+03, 9.14e+03, 1e+05]) * ExpSineSquared(len_scale=0.000515, periodicity=4.85e+04) + WhiteK(noise=0.0118)"
"Locally Periodic, x:none, y:none",1.20963,0.5209745316082894,1.20963,0.5209745316082894,0.057484,0.024757735259517504,-36.6052,"1.23**2 * RBF(len_scale=[1e+05, 7.19e+04, 0.026, 99.1, 420]) + ExpSineSquared(len_scale=0.501, periodicity=15.9)"
"Periodic + WhiteK, x:none, y:none",0.0801316,0.03451178464725975,0.0801316,0.03451178464725975,0.063483,0.027341444504793536,-11.4201,"6.84**2 * ExpSineSquared(len_scale=4.96, periodicity=5.75) + WhiteK(noise=0.0402)"
"RBF + WhiteK, x:none, y:power",0.101336,0.01699007300115506,0.0859977,0.037038282284284525,0.0715021,0.030795157765862394,-0.417418,"1.26**2 * RBF(len_scale=[0.766, 0.897, 1.26, 3.98, 2.64]) + WhiteK(noise=0.0114)"
"RBF + WhiteK, x:scaled, y:none",0.0838002,0.036091846685590116,0.0838002,0.036091846685590116,0.0737326,0.03175583889688563,-11.5315,"2.05**2 * RBF(len_scale=[3.25, 3.94, 4.86, 10, 10]) + WhiteK(noise=0.0189)"
"RBF + WhiteK, x:none, y:none",0.0819654,0.03530160845552109,0.0819654,0.03530160845552109,0.0760877,0.03277012655881065,-11.4633,"2.24**2 * RBF(len_scale=[0.878, 1.05, 1.38, 3.45, 3.17]) + WhiteK(noise=0.0197)"
"RBF + WhiteK, x:scaled, y:power",0.152778,0.02561498939070353,0.129558,0.05579931633403605,0.0982073,0.04229682741637335,-1.54542,"1.03**2 * RBF(len_scale=[2.34, 10, 3.49, 10, 7.01]) + WhiteK(noise=0.0175)"
"Locally Periodic + WhiteK, x:scaled, y:power",0.156269,0.026200345213484626,0.15068,0.06489630293373137,0.105901,0.04561019936592135,-3.15507,"1.59**2 * RBF(len_scale=[8.47e+03, 3.29, 1e+05, 7.61, 9.44]) * ExpSineSquared(len_scale=15.2, periodicity=7.5) + WhiteK(noise=0.0421)"
"Periodic + WhiteK, x:scaled, y:scaled",0.481718,0.4817182120925638,0.481718,0.20747076407862644,0.119566,0.05149587762804431,-39.3865,"0.599**2 * ExpSineSquared(len_scale=0.622, periodicity=10) + WhiteK(noise=0.704)"
"Local Sens + Ridge + Mat 2.5 + WhiteK, x:scaled, y:logshift",0.514115,0.1308681550656733,0.556788,0.23980262165907243,0.123612,0.05323834843127685,-16.0491,"0.425**2 * Matern(len_scale=[0.951, 6.91, 0.347, 4.87, 2.9], nu=1.5) + DotProduct(sigma_0=1.12) + 0.0333**2 * Matern(len_scale=[2.54, 2.77, 2.09, 3.27, 2.94], nu=2.5) + WhiteK(noise=0.000472)"
